state,action,next_state,reward,done
[ 0.96885496 -0.24762885  0.9650029   0.26223934  0.26824853 -0.7958401 ],0,[ 0.9885643  -0.15080002  0.99957806  0.02904676  0.69318485 -1.5123699 ],-1.0198109170838898,False
[ 0.9885643  -0.15080002  0.99957806  0.02904676  0.69318485 -1.5123699 ],2,[ 0.9998883  -0.01494617  0.9711982  -0.23827316  0.6351473  -1.1159741 ],-1.019674167215669,False
[ 0.99108577 -0.13322519  0.9828486   0.18441433  1.2360972  -2.3443668 ],2,[ 0.9942844   0.10676419  0.9672027  -0.25400576  1.1034942  -1.9534684 ],-1.0198307762267793,False
[ 0.9942844   0.10676419  0.9672027  -0.25400576  1.1034942  -1.9534684 ],2,[ 0.9596426   0.28122246  0.8498846  -0.5269688   0.6389183  -0.96585345],-1.0192342356562887,False
[ 0.9596426   0.28122246  0.8498846  -0.5269688   0.6389183  -0.96585345],0,[ 0.9299009   0.36781028  0.7695867  -0.63854235  0.25834507 -0.383888  ],-1.0188040260183406,False
[ 0.9299009   0.36781028  0.7695867  -0.63854235  0.25834507 -0.383888  ],1,[ 0.93153304  0.36365664  0.78286695 -0.6221891  -0.30184     0.5915721 ],-1.018870627392061,False
[ 0.93153304  0.36365664  0.78286695 -0.6221891  -0.30184     0.5915721 ],0,[ 0.9630249   0.26941237  0.87987363 -0.47520775 -0.6704178   1.1373527 ],-1.0193839197502734,False
[ 0.96885496 -0.24762885  0.9650029   0.26223934  0.26824853 -0.7958401 ],1,[ 0.98648405 -0.16385725  0.9980016   0.06318939  0.56455296 -1.1781236 ],-1.0198135072533945,False
[ 0.98648405 -0.16385725  0.9980016   0.06318939  0.56455296 -1.1781236 ],0,[ 0.9997211  -0.02361481  0.9767335  -0.21445657  0.80639726 -1.5414379 ],-1.0197111792328257,False
[ 0.9997211  -0.02361481  0.9767335  -0.21445657  0.80639726 -1.5414379 ],2,[ 0.9934328   0.11441683  0.8988527  -0.43825084  0.5446935  -0.77950454],-1.019365258986168,False
[ 0.9934328   0.11441683  0.8988527  -0.43825084  0.5446935  -0.77950454],0,[ 0.97809464  0.2081608   0.8371342  -0.5469976   0.38445055 -0.4410399 ],-1.0191075450149154,False
[ 0.97809464  0.2081608   0.8371342  -0.5469976   0.38445055 -0.4410399 ],0,[ 0.96596867  0.258659    0.81325454 -0.5819081   0.12433123  0.02955483],-1.0190206290476116,False
[ 0.9831351  -0.18288061  0.9575047   0.2884178  -0.945651    1.6217414 ],1,[ 0.94422513 -0.3293006   0.85151416  0.52433157 -0.5371674   0.91664356],-1.0192090893506933,False
[ 0.94422513 -0.3293006   0.85151416  0.52433157 -0.5371674   0.91664356],0,[ 0.929592   -0.36859015  0.81765324  0.575711    0.12494875 -0.30966723],-1.0190187733998206,False
[ 0.929592   -0.36859015  0.81765324  0.575711    0.12494875 -0.30966723],2,[ 0.95166165 -0.30714843  0.8793671   0.4761444   0.5134802  -0.83936214],-1.019347685524436,False
[ 0.95166165 -0.30714843  0.8793671   0.4761444   0.5134802  -0.83936214],1,[ 0.9858283  -0.16775754  0.9666684   0.25603148  0.88951516 -1.479399  ],-1.0198174859247482,False
[ 0.9858283  -0.16775754  0.9666684   0.25603148  0.88951516 -1.479399  ],1,[ 0.99966943  0.02570971  0.9979171  -0.06450955  1.0024575  -1.6649573 ],-1.0199891520147655,False
[ 0.9831351  -0.18288061  0.9575047   0.2884178  -0.945651    1.6217414 ],0,[ 0.9483123  -0.31733865  0.8682736   0.4960856  -0.41527402  0.5979351 ],-1.0192913394862841,False
[ 0.9483123  -0.31733865  0.8682736   0.4960856  -0.41527402  0.5979351 ],0,[ 0.9416584  -0.33657014  0.8664835   0.49920565  0.21527682 -0.5635009 ],-1.0192560761476295,False
[ 0.9416584  -0.33657014  0.8664835   0.49920565  0.21527682 -0.5635009 ],0,[ 0.9713268  -0.23774822  0.9552924   0.29566276  0.7941162  -1.6205406 ],-1.0196952121747853,False
[ 0.9713268  -0.23774822  0.9552924   0.29566276  0.7941162  -1.6205406 ],1,[ 0.99850893 -0.0545882   0.9980682  -0.06212767  1.0095241  -1.9068587 ],-1.0199169755734612,False
[ 0.99850893 -0.0545882   0.9980682  -0.06212767  1.0095241  -1.9068587 ],1,[ 0.99005336  0.14069223  0.9131269  -0.4076755   0.89754945 -1.5775348 ],-1.0195145450313186,False
[ 0.9999457   0.01041957  0.99957055 -0.02930407 -0.9467677   1.506348  ],1,[ 0.985453   -0.16994798  0.96674585  0.25573894 -0.81920916  1.2930325 ],-1.0198159801203566,False
[ 0.985453   -0.16994798  0.96674585  0.25573894 -0.81920916  1.2930325 ],2,[ 0.9511906  -0.308604    0.8806195   0.47382405 -0.57628006  1.0005192 ],-1.019350516310831,False
[ 0.9511906  -0.308604    0.8806195   0.47382405 -0.57628006  1.0005192 ],1,[ 0.9293119  -0.3692959   0.8201096   0.5722065  -0.05654957  0.13619533],-1.0190276294063487,False
[ 0.9293119  -0.3692959   0.8201096   0.5722065  -0.05654957  0.13619533],2,[ 0.94016606 -0.34071663  0.83723944  0.54683644  0.35573694 -0.43486655],-1.0191362640638777,False
[ 0.94016606 -0.34071663  0.83723944  0.54683644  0.35573694 -0.43486655],0,[ 0.9766103  -0.21501692  0.92976284  0.36815894  0.92694014 -1.5415095 ],-1.019637867421597,False
[ 0.9847428   0.17401601  0.9623852  -0.27168876 -0.65743625  0.8843973 ],0,[ 0.9993236   0.03677435  0.99524325 -0.09742098 -0.690263    0.8388883 ],-1.019974762638603,False
[ 0.9993236   0.03677435  0.99524325 -0.09742098 -0.690263    0.8388883 ],2,[ 0.9935063  -0.11377694  0.99419713  0.10757331 -0.78034574  1.1539106 ],-1.0199348683850937,False
[ 0.9935063  -0.11377694  0.99419713  0.10757331 -0.78034574  1.1539106 ],2,[ 0.9665556  -0.25645718  0.94370055  0.3308009  -0.63686186  1.0786172 ],-1.0196353092230586,False
[ 0.9665556  -0.25645718  0.94370055  0.3308009  -0.63686186  1.0786172 ],1,[ 0.94161075 -0.33670336  0.8847813   0.4660065  -0.1856008   0.36807746],-1.0193163632790576,False
[ 0.94161075 -0.33670336  0.8847813   0.4660065  -0.1856008   0.36807746],1,[ 0.94595087 -0.32430995  0.8875508   0.46070996  0.31381944 -0.42490166],-1.0193494310532507,False
[ 0.9847428   0.17401601  0.9623852  -0.27168876 -0.65743625  0.8843973 ],1,[ 0.9997213   0.02360898  0.9979871  -0.06341724 -0.8184367   1.1725372 ],-1.0199892741677412,False
[ 0.9997213   0.02360898  0.9979871  -0.06341724 -0.8184367   1.1725372 ],1,[ 0.990793   -0.1353857   0.986222    0.16542704 -0.73600936  1.0580527 ],-1.019903312822354,False
[ 0.990793   -0.1353857   0.986222    0.16542704 -0.73600936  1.0580527 ],1,[ 0.9673864  -0.25330514  0.94415647  0.3294974  -0.43902606  0.5941052 ],-1.0196421398486644,False
[ 0.9673864  -0.25330514  0.94415647  0.3294974  -0.43902606  0.5941052 ],2,[ 0.9504477  -0.31088465  0.91100955  0.41238528 -0.14777341  0.2780682 ],-1.0194451877721618,False
[ 0.9504477  -0.31088465  0.91100955  0.41238528 -0.14777341  0.2780682 ],2,[ 0.9516237  -0.30726594  0.90386707  0.42781338  0.1851529  -0.10966187],-1.019432175020206,False
[ 0.99108577 -0.13322519  0.9828486   0.18441433  1.2360972  -2.3443668 ],0,[ 0.9911426   0.13280225  0.9477595  -0.31898585  1.3546383  -2.6073189 ],-1.0197286934493213,False
[ 0.9911426   0.13280225  0.9477595  -0.31898585  1.3546383  -2.6073189 ],2,[ 0.93820137  0.34608987  0.7411587  -0.6713298   0.8030484  -1.4325112 ],-1.0186589795873489,False
[ 0.93820137  0.34608987  0.7411587  -0.6713298   0.8030484  -1.4325112 ],1,[ 0.89821935  0.43954745  0.6109035  -0.7917051   0.19804388 -0.32469326],-1.0179493667958934,False
[ 0.89821935  0.43954745  0.6109035  -0.7917051   0.19804388 -0.32469326],0,[ 0.90418154  0.4271484   0.62689215 -0.779106   -0.3328706   0.52526194],-1.01803799736975,False
[ 0.90418154  0.4271484   0.62689215 -0.779106   -0.3328706   0.52526194],0,[ 0.9471392   0.3208229   0.75916505 -0.6508982  -0.7928424   1.2915115 ],-1.0187499720430935,False
[ 0.9932283  -0.11617855  0.99838436  0.05682169 -0.5220051   1.6222683 ],1,[ 0.98036325 -0.19720018  0.9397516   0.3418579  -0.27246276  1.2358438 ],-1.0196907566321525,False
[ 0.98036325 -0.19720018  0.9397516   0.3418579  -0.27246276  1.2358438 ],1,[ 0.97625315 -0.21663274  0.8616107   0.5075697   0.0800828   0.57198435],-1.0192735956743757,False
[ 0.97625315 -0.21663274  0.8616107   0.5075697   0.0800828   0.57198435],0,[ 0.98798084 -0.1545765   0.85743093  0.5145991   0.5372819  -0.48123235],-1.0191465104439517,False
[ 0.98798084 -0.1545765   0.85743093  0.5145991   0.5372819  -0.48123235],2,[ 0.9992836  -0.03784529  0.9146375   0.40427494  0.6095878  -0.72575027],-1.0192856578508622,False
[ 0.9992836  -0.03784529  0.9146375   0.40427494  0.6095878  -0.72575027],0,[ 0.9946984   0.10283531  0.98006195  0.19869211  0.76605636 -1.3812058 ],-1.019491318892788,False
[ 0.9932283  -0.11617855  0.99838436  0.05682169 -0.5220051   1.6222683 ],0,[ 0.98284304 -0.18444379  0.95076334  0.30991787 -0.1476767   0.90826213],-1.019744566365538,False
[ 0.98284304 -0.18444379  0.95076334  0.30991787 -0.1476767   0.90826213],1,[ 0.98305434 -0.1833143   0.9043944   0.42669755  0.1607939   0.33174494],-1.0195034296011134,False
[ 0.98305434 -0.1833143   0.9043944   0.42669755  0.1607939   0.33174494],0,[ 0.99386305 -0.11061764  0.91597915  0.40122592  0.5581617  -0.5967559 ],-1.0194860349592545,False
[ 0.99386305 -0.11061764  0.91597915  0.40122592  0.5581617  -0.5967559 ],1,[ 0.99987054  0.01609225  0.9692322   0.24614823  0.6814883  -0.9994451 ],-1.0196501612256674,False
[ 0.99987054  0.01609225  0.9692322   0.24614823  0.6814883  -0.9994451 ],0,"[ 9.8699230e-01  1.6076736e-01  9.9999934e-01  1.1417576e-03
  7.3528624e-01 -1.4103868e+00]",-1.0197380045699507,False
[ 0.99824905  0.05915121  0.98840696 -0.1518279  -0.85432416  1.2420875 ],1,[ 0.99360836 -0.11288255  0.99464744  0.10332724 -0.8252579   1.2435187 ],-1.0199356214714472,False
[ 0.99360836 -0.11288255  0.99464744  0.10332724 -0.8252579   1.2435187 ],2,[ 0.96454424 -0.26392114  0.93929094  0.3431218  -0.67594576  1.1581259 ],-1.0196108902599088,False
[ 0.96454424 -0.26392114  0.93929094  0.3431218  -0.67594576  1.1581259 ],1,[ 0.9367948  -0.34987924  0.87222636  0.48910245 -0.20833598  0.41872   ],-1.019250187163175,False
[ 0.9367948  -0.34987924  0.87222636  0.48910245 -0.20833598  0.41872   ],1,[ 0.9404708  -0.33987448  0.8719516   0.48959213  0.31236044 -0.41128138],-1.0192691567671315,False
[ 0.9404708  -0.33987448  0.8719516   0.48959213  0.31236044 -0.41128138],1,[ 0.97190225 -0.2353849   0.93825346  0.34594855  0.75532085 -1.1371412 ],-1.019652239533773,False
[ 0.9911426   0.13280225  0.9477595  -0.31898585  1.3546383  -2.6073189 ],1,[ 0.9339332   0.35744753  0.71947825 -0.694515    0.9181886  -1.7366446 ],-1.0185413051018866,False
[ 0.9339332   0.35744753  0.71947825 -0.694515    0.9181886  -1.7366446 ],0,[ 0.87838984  0.4779449   0.51515967 -0.8570942   0.38777807 -0.85272354],-1.0174054465173616,False
[ 0.87838984  0.4779449   0.51515967 -0.8570942   0.38777807 -0.85272354],2,[ 0.880018    0.47494033  0.5009744  -0.86546206 -0.41978937  0.6871484 ],-1.0173192737327998,False
[ 0.880018    0.47494033  0.5009744  -0.86546206 -0.41978937  0.6871484 ],2,[ 0.94462734  0.328145    0.7271237  -0.68650645 -1.1649096   2.1869648 ],-1.0185676197424602,False
[ 0.94462734  0.328145    0.7271237  -0.68650645 -1.1649096   2.1869648 ],2,[ 0.9990135   0.04440756  0.9813418  -0.19227138 -1.6667331   3.3228948 ],-1.0198792549823965,False
[ 0.9911426   0.13280225  0.9477595  -0.31898585  1.3546383  -2.6073189 ],0,[ 0.9295569  0.3686786  0.6971895 -0.7168869  1.031761  -2.0376265],-1.0184193510798527,False
[ 0.9295569  0.3686786  0.6971895 -0.7168869  1.031761  -2.0376265],2,[ 0.87373084  0.4864097   0.49185225 -0.87067866  0.25782183 -0.52218825],-1.0172698390116135,False
[ 0.87373084  0.4864097   0.49185225 -0.87067866  0.25782183 -0.52218825],2,[ 0.88759315  0.4606283   0.53435093 -0.84526277 -0.54686785  1.0154521 ],-1.0175123127007037,False
[ 0.88759315  0.4606283   0.53435093 -0.84526277 -0.54686785  1.0154521 ],0,[ 0.9500904   0.31197464  0.7550404  -0.6556783  -1.0385361   1.8655305 ],-1.0187200207693776,False
[ 0.9500904   0.31197464  0.7550404  -0.6556783  -1.0385361   1.8655305 ],1,[ 0.9976921   0.06790029  0.9676793  -0.25218394 -1.3961194   2.6329045 ],-1.0198026149614712,False
[ 0.9976921   0.06790029  0.9676793  -0.25218394 -1.3961194   2.6329045 ],2,[ 0.97523123 -0.22118771  0.95154935  0.30749607 -1.4272405   2.8727975 ],-1.0197122626949504,False
[ 0.97523123 -0.22118771  0.95154935  0.30749607 -1.4272405   2.8727975 ],2,[ 0.89172834 -0.45257106  0.67466086  0.7381278  -0.9805026   2.1998904 ],-1.0182739786823958,False
