,hidden_state,state,q,parent,prev_action,avail_children,step,done
34,[-0.01570394 -0.1894184   0.02293662  0.04232321],[ 0.9998767  -0.01570329  0.9821139  -0.18828772  0.02293662  0.04232321],[0.35943377 0.3032017  0.33736452],33,0,2,6,False
35,[-0.0259471  -0.12913437 -0.12157691  0.54884043],[ 0.9996634  -0.02594419  0.99167377 -0.12877576 -0.12157691  0.5488404 ],[0.34362286 0.30349264 0.3528845 ],34,2,3,7,False
36,[ 0.06817207 -0.43333869 -0.1852531   0.33039057],[ 0.9976772   0.06811928  0.9075689  -0.41990322 -0.1852531   0.33039057],[0.3487615  0.30210093 0.34913754],11,2,2,5,False
37,[ 0.0303723  -0.35500038 -0.18316998  0.43491787],[ 0.9995388   0.03036763  0.9376463  -0.3475907  -0.18316998  0.43491787],[0.34532255 0.3024547  0.35222277],36,0,2,6,False
38,[-0.02723714 -0.19977928 -0.37799795  1.08511552],[ 0.9996291  -0.02723378  0.9801104  -0.19845301 -0.37799793  1.0851156 ],[0.32164687 0.303025   0.37532815],37,2,1,7,False
39,[-0.11223946  0.06002553 -0.44568756  1.45339595],[ 0.9937078  -0.11200394  0.998199    0.05998949 -0.44568756  1.453396  ],[0.30463633 0.3081638  0.38719988],38,2,2,8,False
40,[-0.16746853  0.28644252 -0.08942454  0.7660555 ],[ 0.9860099  -0.16668683  0.9592551   0.28254148 -0.08942454  0.7660555 ],[0.33538255 0.30940998 0.35520747],39,0,3,9,False
41,[-0.09899354  0.02578777 -0.31734775  1.11952777],[ 0.99510413 -0.09883194  0.9996675   0.02578491 -0.31734776  1.1195278 ],[0.32145783 0.30620176 0.3723404 ],38,1,2,8,False
42,[-0.1325224   0.1936366  -0.00653093  0.52631529],[ 0.99123174 -0.13213484  0.98131096  0.1924288  -0.00653093  0.5263153 ],[0.34442177 0.30778047 0.34779775],41,0,2,9,False
43,[-0.11341569  0.26318583  0.19528836  0.16117641],[ 0.99357533 -0.1131727   0.96556604  0.260158    0.19528836  0.16117641],[0.35815293 0.30759388 0.3342532 ],42,1,2,10,False
44,[-0.04424607  0.22446408  0.48093368 -0.53134718],[ 0.9990213  -0.04423164  0.97491354  0.22258392  0.48093367 -0.53134716],[0.3818872  0.3073564  0.31075647],43,0,1,11,False
45,[ 0.04360592  0.1316575   0.37695591 -0.36695167],[ 0.9990494   0.0435921   0.99134564  0.13127747  0.3769559  -0.36695167],[0.37639615 0.30529666 0.31830713],44,2,2,12,False
46,[ 0.06997989  0.06336702  0.63341012 -1.03454432],[ 0.9975524   0.06992278  0.997993    0.06332462  0.6334101  -1.0345443 ],[0.3986668  0.30670798 0.2946253 ],44,0,1,12,False
47,[ 0.16954675 -0.09813417  0.33749668 -0.53771938],[ 0.9856613   0.16873562  0.9951887  -0.09797674  0.33749667 -0.53771937],[0.38164258 0.30328467 0.31507275],46,2,2,13,False
48,[ 0.21133195 -0.17430167  0.07015783 -0.20572316],[ 0.9777524   0.20976241  0.9848479  -0.17342043  0.07015783 -0.20572317],[0.3688101 0.3004513 0.3307386],47,1,2,14,False
49,[ 0.18276929 -0.14264395 -0.3487743   0.51229855],[ 0.98334414  0.18175344  0.9898436  -0.14216071 -0.3487743   0.5122985 ],[0.34440255 0.29828876 0.35730872],48,2,1,15,False
50,[ 0.09180363 -0.01449003 -0.53845959  0.73309544],[ 0.995789    0.09167473  0.99989504 -0.01448952 -0.5384596   0.73309547],[0.33478996 0.29833344 0.3668766 ],49,1,3,16,False
51,[ 0.0785528   0.01977401 -0.66707007  1.06740192],[ 0.9969163   0.07847203  0.9998045   0.01977272 -0.6670701   1.0674019 ],[0.32331997 0.29814392 0.37853613],49,2,2,16,False
52,[-0.05702357  0.22621752 -0.65477587  0.9397704 ],[ 0.9983746  -0.05699267  0.97452176  0.22429302 -0.65477586  0.9397704 ],[0.32593828 0.30118614 0.37287557],51,1,2,17,False
53,[-0.17036961  0.37459885 -0.45258462  0.50462435],[ 0.98552215 -0.16954662  0.93065447  0.36589924 -0.45258462  0.50462437],[0.34109512 0.3050613  0.35384357],52,1,2,18,False
54,[-0.22978071  0.41674919 -0.12924066 -0.09635856],[ 0.9737164  -0.22776401  0.91440964  0.40479    -0.12924066 -0.09635856],[0.36257827 0.30852485 0.3288969 ],53,1,2,19,False
55,[-0.207056    0.30214265  0.35015132 -1.03067739],[ 0.9786404  -0.20557967  0.9547011   0.29756647  0.35015133 -1.0306774 ],[0.39488572 0.31284657 0.2922677 ],54,0,3,20,False
56,[ 0.19601688 -0.16656212  0.59377189 -1.20406553],[ 0.9808501   0.19476405  0.9861606  -0.16579303  0.5937719  -1.2040656 ],[0.40074563 0.30755082 0.29170358],46,0,1,13,False
57,[ 0.26852106 -0.32634312  0.11415572 -0.3608888 ],[ 0.9641643   0.2653058   0.947221   -0.32058132  0.11415572 -0.3608888 ],[0.37352255 0.30191022 0.3245672 ],56,2,2,14,False
58,[ 0.2651182  -0.37256729 -0.14852981 -0.09476039],[ 0.96506155  0.26202333  0.9313959  -0.3640078  -0.14852981 -0.0947604 ],[0.36386463 0.29969135 0.33644402],57,0,2,15,False
59,[ 0.19834598 -0.33101181 -0.5047134   0.49481904],[ 0.9803938   0.19704801  0.945714   -0.32500008 -0.5047134   0.49481905],[0.34117496 0.29755652 0.36126855],58,1,2,16,False
60,[ 0.05918576 -0.15241735 -0.85432415  1.2420875 ],[ 0.99824905  0.05915121  0.98840696 -0.1518279  -0.85432416  1.2420875 ],[0.31266272 0.2979684  0.38936895],59,2,1,17,False
61,[ 0.28150893 -0.36003659  0.23971629 -0.68889667],[ 0.96063733  0.2778055   0.93588394 -0.35230848  0.23971629 -0.68889666],[0.3842159  0.30433077 0.31145328],56,1,1,14,False
62,[ 0.27410399 -0.39801534 -0.31196004  0.31199422],[ 0.9626681   0.27068448  0.921832   -0.38758957 -0.31196004  0.31199422],[0.3492156  0.29889426 0.3518901 ],61,2,1,15,False
63,[ 0.17490644 -0.27514737 -0.65743626  0.88439734],[ 0.9847428   0.17401601  0.9623852  -0.27168876 -0.65743625  0.8843973 ],[0.3265845  0.2972293  0.37618622],62,1,0,16,False
64,[ 0.01041976 -0.02930826 -0.94676768  1.50634807],[ 0.9999457   0.01041957  0.99957055 -0.02930407 -0.9467677   1.506348  ],[0.30095774 0.29972154 0.3993207 ],63,2,0,17,False
65,[-0.18391568  0.292574   -0.94565102  1.62174141],[ 0.9831351  -0.18288061  0.9575047   0.2884178  -0.945651    1.6217414 ],[0.2927203  0.30598632 0.40129343],64,2,0,18,False
66,[-0.34813847  0.58463904 -0.65774913  1.23264372],[ 0.9400094  -0.34114856  0.83391136  0.5518984  -0.6577491   1.2326437 ],[0.31282023 0.31047937 0.3767004 ],65,2,2,19,False
67,[-0.41130179  0.70349461  0.0359905  -0.05765907],[ 0.9166011  -0.3998029   0.76258624  0.6468866   0.0359905  -0.05765907],[0.3622143  0.31380534 0.32398033],66,0,2,20,False
68,[-0.33412766  0.56198354  0.72215711 -1.33856129],[ 0.9446967 -0.3279452  0.8461998  0.5328657  0.7221571 -1.3385613],[0.41142046 0.31420162 0.27437788],67,0,2,21,False
69,[-0.13362248  0.18547593  1.23609719 -2.34436682],[ 0.99108577 -0.13322519  0.9828486   0.18441433  1.2360972  -2.3443668 ],[0.44162962 0.31608775 0.24228264],68,0,0,22,False
70,[ 0.12009501 -0.29076867  1.22950313 -2.28134226],[ 0.99279726  0.11980654  0.9580238  -0.28668872  1.2295032  -2.2813423 ],[0.43653375 0.3119522  0.25151405],69,1,3,23,False
71,[-0.15761071  0.22458832 -0.69204488  0.9627152 ],[ 0.9876051  -0.15695898  0.9748859   0.22270504 -0.69204485  0.9627152 ],[0.32395443 0.30274075 0.37330478],64,0,2,18,False
72,[-0.25307513  0.33485726 -0.24201856  0.11186465],[ 0.96814704 -0.2503823   0.94445723  0.32863435 -0.24201855  0.11186465],[0.35434452 0.30712205 0.3385335 ],71,0,2,19,False
73,[-0.25023211  0.26534201  0.26824853 -0.79584008],[ 0.96885496 -0.24762885  0.9650029   0.26223934  0.26824853 -0.7958401 ],[0.38598067 0.31301337 0.30100596],72,0,1,20,False
74,[-0.1513775   0.02905084  0.69318485 -1.51236983],[ 0.9885643  -0.15080002  0.99957806  0.02904676  0.69318485 -1.5123699 ],[0.4156444  0.3123572  0.27199835],73,0,2,21,False
75,[-0.01494673 -0.24058742  0.63514728 -1.1159741 ],[ 0.9998883  -0.01494617  0.9711982  -0.23827316  0.6351473  -1.1159741 ],[0.39838114 0.30974925 0.29186964],74,2,3,22,False
76,[ 0.10696807 -0.2568196   1.10349418 -1.95346839],[ 0.9942844   0.10676419  0.9672027  -0.25400576  1.1034942  -1.9534684 ],[0.42973694 0.30978483 0.26047817],69,2,1,23,False
77,[ 0.28506775 -0.55503     0.63891827 -0.96585342],[ 0.9596426   0.28122246  0.8498846  -0.5269688   0.6389183  -0.96585345],[0.3990597  0.3024708  0.29846945],76,2,2,24,False
78,[ 0.37665312 -0.69260274  0.25834508 -0.38388799],[ 0.9299009   0.36781028  0.7695867  -0.63854235  0.25834507 -0.383888  ],[0.3787868  0.29953986 0.32167336],77,0,2,25,False
79,[ 0.37219031 -0.67153589 -0.30184     0.5915721 ],[ 0.93153304  0.36365664  0.78286695 -0.6221891  -0.30184     0.5915721 ],[0.34017888 0.29787457 0.36194658],78,1,2,26,False
80,[ 0.27278277 -0.49520012 -0.67041779  1.13735266],[ 0.9630249   0.26941237  0.87987363 -0.47520775 -0.6704178   1.1373527 ],[0.31572482 0.30129892 0.38297623],79,0,3,27,False
81,[-0.16459949  0.06323152  0.56455296 -1.17812354],[ 0.98648405 -0.16385725  0.9980016   0.06318939  0.56455296 -1.1781236 ],[0.40159678 0.31131288 0.2870904 ],73,1,2,21,False
82,[-0.02361701 -0.21613542  0.80639729 -1.54143781],[ 0.9997211  -0.02361481  0.9767335  -0.21445657  0.80639726 -1.5414379 ],[0.41514185 0.31202593 0.27283213],81,0,2,22,False
83,[ 0.11466796 -0.45365176  0.54469355 -0.77950451],[ 0.9934328   0.11441683  0.8988527  -0.43825084  0.5446935  -0.77950454],[0.3909026  0.3048914  0.30420595],82,2,2,23,False
84,[ 0.2096942  -0.57877351  0.38445056 -0.4410399 ],[ 0.97809464  0.2081608   0.8371342  -0.5469976   0.38445055 -0.4410399 ],[0.38166973 0.30044752 0.31788284],83,0,2,24,False
85,[ 0.26163371 -0.62107297  0.12433123  0.02955483],[ 0.96596867  0.258659    0.81325454 -0.5819081   0.12433123  0.02955483],[0.36367157 0.29895526 0.33737308],84,0,3,25,False
86,[-0.33556278  0.55192995 -0.53716738  0.91664356],[ 0.94422513 -0.3293006   0.85151416  0.52433157 -0.5371674   0.91664356],[0.32669893 0.30916724 0.3641338 ],65,1,2,19,False
87,[-0.37749193  0.61347346  0.12494875 -0.30966722],[ 0.929592   -0.36859015  0.81765324  0.575711    0.12494875 -0.30966723],[0.3712152  0.31384194 0.3149429 ],86,0,2,20,False
88,[-0.31219517  0.49626497  0.51348016 -0.83936214],[ 0.95166165 -0.30714843  0.8793671   0.4761444   0.5134802  -0.83936214],[0.3899989 0.3140946 0.2959066],87,2,2,21,False
89,[-0.16855453  0.25891459  0.88951516 -1.47939898],[ 0.9858283  -0.16775754  0.9666684   0.25603148  0.88951516 -1.479399  ],[0.4190243  0.30977517 0.2712006 ],88,1,2,22,False
90,[ 0.02571254 -0.06455438  1.00245745 -1.66495729],[ 0.99966943  0.02570971  0.9979171  -0.06450955  1.0024575  -1.6649573 ],[0.42164266 0.3100441  0.26831314],89,1,3,23,False
91,[-0.32292174  0.5190847  -0.41527401  0.59793507],[ 0.9483123  -0.31733865  0.8682736   0.4960856  -0.41527402  0.5979351 ],[0.3380842  0.3088183  0.35309753],65,0,2,19,False
92,[-0.34327215  0.52268178  0.21527683 -0.56350088],[ 0.9416584  -0.33657014  0.8664835   0.49920565  0.21527682 -0.5635009 ],[0.3794492  0.31398818 0.3065626 ],91,0,1,20,False
93,[-0.24004694  0.30014923  0.79411621 -1.62054064],[ 0.9713268  -0.23774822  0.9552924   0.29566276  0.7941162  -1.6205406 ],[0.42389804 0.3124877  0.26361424],92,0,2,21,False
94,[-0.05461535 -0.06216771  1.00952406 -1.90685869],[ 0.99850893 -0.0545882   0.9980682  -0.06212767  1.0095241  -1.9068587 ],[0.428875   0.3131863  0.25793862],93,1,2,22,False
95,[ 0.14116058 -0.41990697  0.89754946 -1.57753481],[ 0.99005336  0.14069223  0.9131269  -0.4076755   0.89754945 -1.5775348 ],[0.4184089  0.3081819  0.27340925],94,1,3,23,False
96,[-0.17077689  0.25861198 -0.81920917  1.29303255],[ 0.985453   -0.16994798  0.96674585  0.25573894 -0.81920916  1.2930325 ],[0.31065506 0.30317065 0.3861743 ],64,1,2,18,False
97,[-0.31372506  0.4936282  -0.57628006  1.00051917],[ 0.9511906  -0.308604    0.8806195   0.47382405 -0.57628006  1.0005192 ],[0.32353723 0.30839533 0.36806744],96,2,2,19,False
98,[-0.37825123  0.60919383 -0.05654957  0.13619534],[ 0.9293119  -0.3692959   0.8201096   0.5722065  -0.05654957  0.13619533],[0.3553596  0.31163248 0.33300784],97,1,2,20,False
99,[-0.34767904  0.578581    0.35573696 -0.43486655],[ 0.94016606 -0.34071663  0.83723944  0.54683644  0.35573694 -0.43486655],[0.37758234 0.31366026 0.30875736],98,2,2,21,False
100,[-0.21670914  0.37702811  0.92694015 -1.54150954],[ 0.9766103  -0.21501692  0.92976284  0.36815894  0.92694014 -1.5415095 ],[0.4230828  0.31042203 0.2664952 ],99,0,3,22,False
101,[ 0.03678265 -0.09757574 -0.69026298  0.83888828],[ 0.9993236   0.03677435  0.99524325 -0.09742098 -0.690263    0.8388883 ],[0.32849827 0.2982136  0.37328815],63,0,1,17,False
102,[-0.11402386  0.10778187 -0.78034574  1.15391063],[ 0.9935063  -0.11377694  0.99419713  0.10757331 -0.78034574  1.1539106 ],[0.31662947 0.30111742 0.38225308],101,2,2,18,False
103,[-0.25935501  0.33715212 -0.63686186  1.07861726],[ 0.9665556  -0.25645718  0.94370055  0.3308009  -0.63686186  1.0786172 ],[0.32000887 0.30658716 0.37340397],102,2,2,19,False
104,[-0.34341365  0.48477181 -0.18560081  0.36807747],[ 0.94161075 -0.33670336  0.8847813   0.4660065  -0.1856008   0.36807746],[0.34730682 0.3098003  0.34289283],103,1,1,20,False
105,[-0.33028215  0.47879495  0.31381943 -0.42490168],[ 0.94595087 -0.32430995  0.8875508   0.46070996  0.31381944 -0.42490166],[0.3771751  0.3124709  0.31035402],104,1,3,21,False
106,[ 0.02361118 -0.06345983 -0.81843671  1.17253726],[ 0.9997213   0.02360898  0.9979871  -0.06341724 -0.8184367   1.1725372 ],[0.31702623 0.29739285 0.38558087],63,1,0,17,False
107,[-0.13580275  0.16619101 -0.73600936  1.05805264],[ 0.990793   -0.1353857   0.986222    0.16542704 -0.73600936  1.0580527 ],[0.32013237 0.30187443 0.37799317],106,1,2,18,False
108,[-0.2560953   0.33577121 -0.43902606  0.59410516],[ 0.9673864  -0.25330514  0.94415647  0.3294974  -0.43902606  0.5941052 ],[0.33841357 0.30653816 0.3550483 ],107,1,2,19,False
109,[-0.31612366  0.42507082 -0.14777341  0.27806822],[ 0.9504477  -0.31088465  0.91100955  0.41238528 -0.14777341  0.2780682 ],[0.35056695 0.30904868 0.3403844 ],108,2,2,20,False
110,[-0.31231864  0.44207219  0.1851529  -0.10966187],[ 0.9516237  -0.30726594  0.90386707  0.42781338  0.1851529  -0.10966187],[0.36637542 0.31040785 0.32321665],109,2,3,21,False
111,[ 0.13319575 -0.32465923  1.35463832 -2.60731894],[ 0.9911426   0.13280225  0.9477595  -0.31898585  1.3546383  -2.6073189 ],[0.4416097  0.31427848 0.24411182],69,0,0,23,False
112,[ 0.35340021 -0.73600157  0.80304838 -1.43251123],[ 0.93820137  0.34608987  0.7411587  -0.6713298   0.8030484  -1.4325112 ],[0.41504094 0.30446935 0.28048974],111,2,2,24,False
113,[ 0.45509478 -0.91359501  0.19804388 -0.32469328],[ 0.89821935  0.43954745  0.6109035  -0.7917051   0.19804388 -0.32469326],[0.3781392  0.29851377 0.32334706],112,1,2,25,False
114,[ 0.44133663 -0.89323855 -0.33287061  0.52526196],[ 0.90418154  0.4271484   0.62689215 -0.779106   -0.3328706   0.52526194],[0.34476322 0.29543486 0.35980198],113,0,1,26,False
115,[ 0.32659818 -0.70876698 -0.79284241  1.29151158],[ 0.9471392   0.3208229   0.75916505 -0.6508982  -0.7928424   1.2915115 ],[0.31241074 0.29951388 0.38807538],114,0,3,27,False
116,[-0.1985012   0.34889321 -0.27246276  1.23584377],[ 0.98036325 -0.19720018  0.9397516   0.3418579  -0.27246276  1.2358438 ],[0.31495208 0.3124713  0.3725766 ],26,1,2,9,False
117,[-0.21836398  0.53236179  0.0800828   0.57198433],[ 0.97625315 -0.21663274  0.8616107   0.5075697   0.0800828   0.57198435],[0.34325317 0.31199118 0.3447557 ],116,1,2,10,False
118,[-0.15519878  0.54054002  0.53728188 -0.48123233],[ 0.98798084 -0.1545765   0.85743093  0.5145991   0.5372819  -0.48123235],[0.38128754 0.31072927 0.3079832 ],117,0,2,11,False
119,[-0.03785433  0.41618596  0.6095878  -0.72575026],[ 0.9992836  -0.03784529  0.9146375   0.40427494  0.6095878  -0.72575027],[0.3902642  0.3081573  0.30157855],118,2,2,12,False
120,[ 0.10301743  0.20002324  0.76605634 -1.38120583],[ 0.9946984   0.10283531  0.98006195  0.19869211  0.76605636 -1.3812058 ],[0.4132349  0.30669206 0.28007308],119,0,3,13,False
121,[-0.18550591  0.31510665 -0.14767671  0.90826213],[ 0.98284304 -0.18444379  0.95076334  0.30991787 -0.1476767   0.90826213],[0.33011577 0.30996603 0.3599182 ],26,0,2,9,False
122,[-0.18435683  0.44083805  0.1607939   0.33174495],[ 0.98305434 -0.1833143   0.9043944   0.42669755  0.1607939   0.33174494],[0.35226727 0.3099606  0.33777207],121,1,2,10,False
123,[-0.11084448  0.41285484  0.55816167 -0.59675595],[ 0.99386305 -0.11061764  0.91597915  0.40122592  0.5581617  -0.5967559 ],[0.38540933 0.3091516  0.30543914],122,0,2,11,False
124,[ 0.01609295  0.2487042   0.68148826 -0.99944509],[ 0.99987054  0.01609225  0.9692322   0.24614823  0.6814883  -0.9994451 ],[0.40022665 0.30692998 0.29284334],123,1,2,12,False
125,[ 1.61468073e-01  1.14175786e-03  7.35286248e-01 -1.41038679e+00],"[ 9.8699230e-01  1.6076736e-01  9.9999934e-01  1.1417576e-03
  7.3528624e-01 -1.4103868e+00]",[0.41105363 0.3072408  0.28170562],124,0,3,13,False
126,[-0.11312366  0.10351199 -0.82525791  1.24351872],[ 0.99360836 -0.11288255  0.99464744  0.10332724 -0.8252579   1.2435187 ],[0.31317186 0.30090687 0.38592133],60,1,2,18,False
127,[-0.26708523  0.35023844 -0.67594575  1.15812588],[ 0.96454424 -0.26392114  0.93929094  0.3431218  -0.67594576  1.1581259 ],[0.3165851  0.30673012 0.3766848 ],126,2,1,19,False
128,[-0.35744219  0.51106043 -0.20833598  0.41872002],[ 0.9367948  -0.34987924  0.87222636  0.48910245 -0.20833598  0.41872   ],[0.3454678  0.31016833 0.3443639 ],127,1,2,20,False
129,[-0.34678342  0.51162194  0.31236044 -0.41128138],[ 0.9404708  -0.33987448  0.8719516   0.48959213  0.31236044 -0.41128138],[0.3766442 0.3129263 0.3104295],128,1,2,21,False
130,[-0.23761457  0.35324957  0.75532083 -1.13714118],[ 0.97190225 -0.2353849   0.93825346  0.34594855  0.75532085 -1.1371412 ],[0.40334255 0.31065458 0.28600287],129,1,3,22,False
131,[ 0.36553342 -0.76774558  0.91818855 -1.73664466],[ 0.9339332   0.35744753  0.71947825 -0.694515    0.9181886  -1.7366446 ],[0.4237188 0.3066356 0.2696456],111,1,2,24,False
132,[ 0.49831361 -1.02960238  0.38777807 -0.85272354],[ 0.87838984  0.4779449   0.51515967 -0.8570942   0.38777807 -0.85272354],[0.39681807 0.30098405 0.3021978 ],131,0,2,25,False
133,[ 0.49489622 -1.046072   -0.41978937  0.68714838],[ 0.880018    0.47494033  0.5009744  -0.86546206 -0.41978937  0.6871484 ],[0.34383026 0.29327297 0.36289677],132,2,0,26,False
134,[ 0.33433917 -0.75667349 -1.16490957  2.18696469],[ 0.94462734  0.328145    0.7271237  -0.68650645 -1.1649096   2.1869648 ],[0.26902375 0.30148488 0.42949137],133,2,1,27,False
135,[ 0.04442217 -0.19347619 -1.66673312  3.32289485],[ 0.9990135   0.04440756  0.9813418  -0.19227138 -1.6667331   3.3228948 ],[0.2065554  0.30676448 0.48668015],134,2,3,28,False
